mjd,flux,err,trend1,trend2,zp,sector
58330.07635498047,245.62076599378702,5.84991590068428,247.8846023726623,247.8846023726623,20.44,1.0
58330.09716796875,237.49856332380287,5.294035556108043,250.10816039724543,250.10816039724543,20.44,1.0
58330.11798095703,222.59004834713716,4.182095110765938,245.5936539754248,245.5936539754248,20.44,1.0
58330.13885498047,237.84502422836974,2.5545175510316884,239.50757980511912,239.50757980511912,20.44,1.0
58330.15966796875,248.0075140233215,2.29434927798165,238.7132810410613,238.7132810410613,20.44,1.0
58330.18048095703,246.1640690377418,3.533265963867815,240.30498216819157,240.30498216819157,20.44,1.0
58330.20135498047,238.827073681674,3.5683648128628893,241.0746938178752,241.0746938178752,20.44,1.0
58330.22216796875,240.060674645382,3.430700846025503,240.54279176668211,240.54279176668211,20.44,1.0
58330.24298095703,248.640471213715,3.955457260697748,236.61581580143644,236.61581580143644,20.44,1.0
58330.26385498047,227.9780298949222,3.057718123934618,236.0501058481876,236.0501058481876,20.44,1.0
58330.28466796875,234.12170987001855,2.422811513085837,235.96277468935455,235.96277468935455,20.44,1.0
58330.30548095703,220.51868226660176,1.953895520724754,233.86885143815454,233.86885143815454,20.44,1.0
58330.32635498047,242.20409936499988,2.0758292146276793,227.22796962920148,227.22796962920148,20.44,1.0
58330.34716796875,238.21575556984266,3.4605617007109197,224.77659490317973,224.77659490317973,20.44,1.0
58330.36798095703,225.4032118869817,3.193109016582559,220.54471152745526,220.54471152745526,20.44,1.0
58330.38885498047,202.15429855104372,3.638817024404169,219.81529430216892,219.81529430216892,20.44,1.0
58330.40966796875,210.81840681276992,2.623431071410407,215.74444807986774,215.74444807986774,20.44,1.0
58330.43048095703,204.49852623994732,2.6238967804877675,212.40741589143607,212.40741589143607,20.44,1.0
58330.45135498047,215.41276168959752,2.7985715025618108,210.76460485362014,210.76460485362014,20.44,1.0
58330.47216796875,213.70817580889153,3.2351883802516728,212.4332006814455,212.4332006814455,20.44,1.0
58330.49298095703,214.85653025082095,2.9335240463471335,211.40876731192992,211.40876731192992,20.44,1.0
58330.51385498047,213.90353462227034,2.87583789439924,213.1584953229285,213.1584953229285,20.44,1.0
58330.53466796875,213.8344693458208,2.7184859018300314,210.8929020224083,210.8929020224083,20.44,1.0
58330.55548095703,203.6473732261611,2.4459204936022756,209.96856112779545,209.96856112779545,20.44,1.0
58330.57635498047,216.7466223169376,1.961886136597612,211.25127961882612,211.25127961882612,20.44,1.0
58330.59716796875,199.55360858595589,2.4766413723011516,212.56268058314845,212.56268058314845,20.44,1.0
58330.61798095703,207.23778954660168,3.8560098921107695,216.6975479080817,216.6975479080817,20.44,1.0
58330.63885498047,223.83555968803563,5.520370835613232,221.8698243475504,221.8698243475504,20.44,1.0
58330.65966796875,223.08334137252638,5.755630779362081,222.49342003381554,222.49342003381554,20.44,1.0
58330.68048095703,242.77854062035368,5.5894532338007314,225.9147608707749,225.9147608707749,20.44,1.0
58330.70135498047,239.85330830244206,3.3680916450148,227.45195576704697,227.45195576704697,20.44,1.0
58330.72216796875,221.11179212079364,2.328165633089779,226.53640342280505,226.53640342280505,20.44,1.0
58330.74298095703,223.50299444467151,2.7470496712947643,226.50270767791608,226.50270767791608,20.44,1.0
58330.76385498047,217.998153820506,2.905825892605642,223.24548207682972,223.24548207682972,20.44,1.0
58330.78466796875,217.4266932783422,3.188618299156493,218.9862410806214,218.9862410806214,20.44,1.0
58330.80548095703,222.84747115830336,3.8639423277934233,216.3020442450296,216.3020442450296,20.44,1.0
